CurveID,CurveName,DataSource,Commodity,ProductOrMarket,Location,ContractType,PriceType,Granularity,PublicationFrequency,PublicationCalendar,Currency,CurveUnit,CurveType,UsageType,Description,OwnerRole,Destination,CurveStatus,SettlementTime,ProductCode,CreatedBy,CreatedDateTimeUtc,GMACurveID,TimeOfDay,Timezone,SurfaceContractType,SurfaceStrikeType
8596,P_NBS_GUANGXI_OUTPUT,National Bureau of Statistics of China,Power,NULL,Guangxi,Output,NULL,Monthly,Monthly,NULL,NULL,100 million kwh,Fundamental Data,Analysis,Output of Energy Products - NBS China,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:32:20.350,NULL,NULL,NULL,NULL,NULL
8689,P_NBS_GUANGXI_OUTPUT_ACC_GROWTH,National Bureau of Statistics of China,Power,NULL,Guangxi,Accumulated Output Growth Rate,NULL,Monthly,Monthly,NULL,NULL,%,Fundamental Data,Analysis,Output of Energy Products - NBS China,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:33:14.213,NULL,NULL,NULL,NULL,NULL
8662,P_NBS_GUIZHOU_OUTPUT_GROWTH,National Bureau of Statistics of China,Power,NULL,Guizhou,Output Growth Rate,NULL,Monthly,Monthly,NULL,NULL,%,Fundamental Data,Analysis,Output of Energy Products - NBS China. Growth Rate (The same period last year=100)(%),FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:32:58.913,NULL,NULL,NULL,NULL,NULL
NULL,P_Trader_Nordic_QP.EUR,GMT Trader,Power,Nordic Power,Nordic,OTC Physical Power,Mid,Quarterly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Quarterly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
NULL,P_Trader_Nordic_WB.EUR,GMT Trader,Power,Nordic Power,Nordic,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly Base,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Trader_Nordic_YOP.EUR,GMT Trader,Power,Nordic Power,Nordic,OTC Physical Power,Mid,Yearly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Yearly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Trader_Poland_QP.EUR,GMT Trader,Power,Polish Power,Poland,OTC Physical Power,Mid,Quarterly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Quarterly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
NULL,P_Trader_Poland_WB.EUR,GMT Trader,Power,Polish Power,Poland,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly Base,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Trader_Romania_QOP.EUR,GMT Trader,Power,Romanian Power,Romania,OTC Physical Power,Mid,Quarterly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Quarterly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Trader_Romania_WOP.EUR,GMT Trader,Power,Romanian Power,Romania,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Trader_Slovakia_DB.EUR,GMT Trader,Power,Slovakian Power,Slovakia,OTC Physical Power,Mid,Daily,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Daily Base ,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Trader_Slovakia_HB.EUR,GMT Trader,Power,Slovakian Power,Slovakia,OTC Physical Power,Mid,Hourly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Hourly Base (Shifted one hour forward from source curve),FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
5760,spr_Dirty_Dark_Germany_SOP.EUR,GMT Analyst,Power,German Power,Germany,Dirty Dark Spread,NULL,Seasonal,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:32.140,NULL,OffPeak,NULL,NULL,NULL
6491,spr_Dirty_Dark_Italy_MB.EUR,GMT Analyst,Power,Belgian Power,Belgium,Dirty Dark Spread,Mid,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-08-05 02:30:09.060,NULL,NULL,NULL,NULL,NULL
6493,spr_Dirty_Dark_Italy_MP.EUR,GMT Analyst,Power,Belgian Power,Belgium,Dirty Dark Spread,Mid,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-08-05 02:30:09.220,NULL,NULL,NULL,NULL,NULL
6502,spr_Dirty_Dark_Italy_YOP.EUR,GMT Analyst,Power,Belgian Power,Belgium,Dirty Dark Spread,Mid,Annual,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-08-05 02:30:09.797,NULL,NULL,NULL,NULL,NULL
5787,spr_Dirty_Dark_Spain_MB.EUR,GMT Analyst,Power,Spanish Power,Spain,Dirty Dark Spread,NULL,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:33.290,NULL,Base,NULL,NULL,NULL
5789,spr_Dirty_Dark_Spain_MOP.EUR,GMT Analyst,Power,Spanish Power,Spain,Dirty Dark Spread,NULL,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:33.393,NULL,OffPeak,NULL,NULL,NULL
5791,spr_Dirty_Dark_Spain_MP.EUR,GMT Analyst,Power,Spanish Power,Spain,Dirty Dark Spread,NULL,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:33.507,NULL,Peak,NULL,NULL,NULL
5801,spr_Dirty_Dark_Spain_SB.EUR,GMT Analyst,Power,Spanish Power,Spain,Dirty Dark Spread,NULL,Seasonal,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:33.990,NULL,Base,NULL,NULL,NULL
5815,spr_Dirty_Dark_Spain_YP.EUR,GMT Analyst,Power,Spanish Power,Spain,Dirty Dark Spread,NULL,Annual,Daily,UK,EUR,MWh,Forward Curve,Analysis,ARC calculated spread,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-22 11:23:34.513,NULL,Peak,NULL,NULL,NULL
NULL,P_Retail_Hungary_QP.EUR,GMT Trader,Power,Hungarian Power,Hungary,OTC Physical Power,Mid,Quarterly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Quarterly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
NULL,P_Retail_Hungary_YP.EUR,GMT Trader,Power,Hungarian Power,Hungary,OTC Physical Power,Mid,Yearly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Yearly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
